naam;straat;postcode;plaats;website;latitude;longitude
Esthetisch Centrum Jan van Goyen;Concertgebouwplein 11;1071 LL;Amsterdam;http://www.ecjanvangoyen.nl;52.3555169;4.8791547999999985
CWZ - Canisius-Wilhelmina Ziekenhuis Druten;Kerkeland 3;6651 KN;Druten;http://www.cwz.nl/druten;51.887998700000004;5.615037099999999
Erasmus MC - Kanker Instituut, locatie Dordrecht;Karel Lotsyweg 30;3318 AL;Dordrecht;https://www.erasmusmc.nl/radiotherapie;51.79166;4.6804143
UMC Groningen (UMCG), Radiotherapie, Behandellocatie Emmen;Boermarkeweg 68 C;7824 AA;Emmen;http://www.umcg.nl/NL/UMCG/Afdelingen/Radiotherapie/Paginas/default.aspx;52.7867425;6.9146921
CWZ - Canisius-Wilhelmina Ziekenhuis Polikliniek Dermatologie;Burgemeester Daleslaan 27;6532 CL;Nijmegen;http://www.cwz.nl/dermatologie;51.819011200000006;5.832766899999998
Treant, Ziekenhuislocatie Refaja, Buitenpolikliniek Veendam;Kaap de Goede Hoop 1;9642 AP;Veendam;http://www.refaja.nl;53.1031451;6.8640102
UMC Groningen (UMCG), Beatrix Kinderziekenhuis;Hanzeplein 1;9713 GZ;Groningen;http://www.umcg.nl;53.223816500000005;6.573365799999999
Ziekenhuis St Jansdal, Polikliniek Nijkerk;Henri Nouwenstraat 18;3863 HV;Nijkerk;https://www.stjansdal.nl;52.210194200000004;5.4666707
Niercentrum Midden-Nederland, locatie Harderwijk;Wethouder Jansenlaan 90;3844 DG;Harderwijk;http://www.niercentrummiddennederland.nl;52.34201229999999;5.6162657
Ziekenhuis Gelderse Vallei, Polikliniek Barneveld;Klaverweide 1 A;3773 AW;Barneveld;https://www.geldersevallei.nl;52.1398602;5.5991317999999985
Gelre polikliniek Epe;Willem Tellstraat 17 F;8162 ET;Epe;http://www.gelreziekenhuizen.nl;52.3498935;5.981465900000001
Tjongerschans Polikliniek Sportstad;Abe Lenstra boulevard 23 Q;8448 JA;Heerenveen;http://tjongerschans.nl;52.957571400000006;5.9373987
Spaarne Gasthuis, Dialysecentrum Velsen Noord;Wijkerstraatweg 160;1951 EK;Velsen-Noord;http://www.spaarneziekenhuis.nl;52.4714211;4.6458486
ZorgSaam Ziekenhuis, locatie Antonius;Pastoor van Genklaan 6;4501 AJ;Oostburg;http://www.zorgsaam.org;51.3249635;3.4817826000000003
Albert Schweitzer ziekenhuis, locatie Sliedrecht;Wilhelminastraat 75;3361 XV;Sliedrecht;http://www.asz.nl;51.82240669999999;4.769680399999999
VUmc, afdeling Radiotherapie, locatie Hoorn;Maelsonstraat 3;1624 NP;Hoorn;https://www.amsterdamumc.nl;52.6471938;5.0540555
Saxenburgh Groep, Dagziekenhuis Aleida Kramer;Meindert van der Thijnensingel 1;7741 GB;Coevorden;http://www.saxenburgh.nl;52.663259499999995;6.742543799999999
Westfriesgasthuis, buitenpolikliniek Heerhugowaard;Middenwaard 45;1703 SC;Heerhugowaard;http://www.poliheerhugowaard.nl;52.661781000000005;4.8289062000000005
Spaarne Gasthuis, polikliniek Hillegom;Abellalaan 1;2182 TX;Hillegom;http://www.spaarnegasthuis.nl;52.28524340000001;4.5792126999999985
Waterlandziekenhuis, Behandelcentrum Waterland Oost;Heideweg 1 B;1132 DA;Volendam;http://www.waterlandziekenhuis.nl;52.49202579999999;5.0564073999999986
Dialysecentrum Flevoziekenhuis, locatie Lelystad;Ziekenhuisweg 100;8233 AA;Lelystad;http://www.dialysecentrumflevoziekenhuis.nl;52.504307700000005;5.4769717
Franciscus Berkel;Boerhaavestraat 19;2652 EP;Berkel en Rodenrijs;http://www.sfg.nl;51.996441;4.4749919999999985
St Antonius Spatadercentrum;Van Lawick van Pabstlaan 12;3453 RB;De Meern;http://www.antoniusspatadercentrum.n;52.0831823;5.020068699999999
Dialysecentrum Slingeland, locatie Varsseveld;Sinderenseweg 1;7051 HD;Varsseveld;http://www.slingeland.nl/dialyse;51.9377986;6.4657813
Elkerliek ziekenhuis, locatie Deurne;Dunantweg 16;5751 CB;Deurne;https://www.elkerliek.nl;51.4682973;5.790535999999999
Beatrixziekenhuis, locatie Lingepolikliniek;Lingesteynplantsoen 3;4141 GH;Leerdam;https://www.rivas.nl/beatrixziekenhuis;51.891231;5.106917
Ikazia Ziekenhuis, Buitenpolikliniek Klaaswaal;Kerkstraat 20;3286 AK;Klaaswaal;http://www.ikazia.nl;51.7699682;4.446284400000001
MCL - Medisch Centrum Leeuwarden, Dialysecentrum Súdhaghe;Thialfweg 44;8441 PW;Heerenveen;http://www.sudhaghe.nl;52.9661456;5.917699
Gelre polikliniek Dieren;Wilhelminaweg 80 AA;6951 BR;Dieren;http://www.gelreziekenhuizen.nl;52.05188270000001;6.0985866999999985
OLVG, locatie IJburg;IJburglaan 727;1087 CH;Amsterdam;http://www.olvg.nl/contact_olvg/locatie_ijburg/ijburg;52.357682800000006;4.9913539
Radboudumc, locatie Radiotherapie;Geert Grooteplein-Zuid 32;6525 GA;Nijmegen;http://www.radboudumc.nl/radiotherapie;51.82399359999999;5.864609799999998
HagaZiekenhuis, Juliana Kinderziekenhuis;Leyweg 275;2545 AA;Den Haag;https://www.hagaziekenhuis.nl;52.0571863;4.264712599999999
CIRO, Expertisecentrum voor Chronisch Orgaanfalen;Hornerheide 1;6085 NM;Horn;http://www.ciro-horn.nl;51.2196352;5.9183021999999985
Isala Dermatologisch Centrum;Dokter Spanjaardweg 29;8025 BT;Zwolle;http://www.isala.nl/dermatologie;52.511057400000006;6.12555
MC Dronten;Het Zwarte Water 77;8253 PD;Dronten;http://www.mcgroep.com;52.53782679999999;5.703049900000001
Spaarne Gasthuis, polikliniek Nieuw-Vennep;Lucas Bolsstraat 10;2152 CZ;Nieuw-Vennep;http://www.spaarneziekenhuis.nl;52.27215089999999;4.630018499999999
Bravis ziekenhuis, Buitenpolikliniek Etten-Leur;Schoonhout 215;4872 MC;Etten-Leur;http://www.bravisziekenhuis.nl;51.5717945;4.6503974999999995
VUmc, locatie MC Slotervaart;Louwesweg 6;1066 EC;Amsterdam;https://www.amsterdamumc.nl;52.3481083;4.8256442
MC Emmeloord;Urkerweg 1;8303 BX;Emmeloord;http://www.mcemmeloord.com;52.707254000000006;5.7430012
Meander Medisch Centrum, locatie Nijkerk;Oranjelaan 104;3862 CX;Nijkerk;https://www.meandermc.nl;52.223469200000004;5.492679900000001
Alrijne Ziekenhuis Alphen aan den Rijn;Meteoorlaan 4;2402 WC;Alphen aan den Rijn;http://www.alrijne.nl;52.1426393;4.6616363
Bernhoven, Polikliniek Oss;Gezondheidslaan 1 A;5342 JW;Oss;http://www.bernhoven.nl;51.7577027;5.522942400000001
Slingeland Ziekenhuis, Poli Dermatologie, locatie Gezellenlaan;Gezellenlaan 10;7005 AZ;Doetinchem;http://www.dermatologie.slingeland.nl;51.9544025;6.301144499999999
Zaans Medisch Centrum, Polikliniek Saendelft;Kaaikhof 69;1567 JP;Assendelft;http://www.gc-saendelft.nl;52.48790970000001;4.752294
Rijnstate Arnhem-Zuid;Marga Klompélaan 6;6836 BH;Arnhem;http://www.rijnstate.nl;51.9493081;5.8845725
Admiraal De Ruyter Ziekenhuis, locatie Zierikzee;Koning Gustaafweg 2;4301 NP;Zierikzee;https://www.adrz.nl;51.6566298;3.9302068999999995
Het Van Weel-Bethesda Ziekenhuis, Polikliniek Hellevoetsluis;Vliet 4;3224 HE;Hellevoetsluis;http://www.zhsdirksland.nl;51.8328615;4.1489536
Groene Hart Ziekenhuis, locatie Zuidplas;Doortocht 40;2914 KA;Nieuwerkerk aan den IJssel;http://www.ghz.nl;51.967237100000006;4.6178351
AMC - Academisch Medisch Centrum, afdeling Radiotherapie, vestiging Flevoziekenhuis;Hospitaalweg 1;1315 RA;Almere;https://www.amsterdamumc.nl;52.3691156;5.2237000999999985
Jeroen Bosch Ziekenhuis, locatie Boxtel;Liduinahof 35;5281 AD;Boxtel;http://www.jbz.nl;51.59388569999999;5.3217077
Jeroen Bosch Ziekenhuis, locatie Rosmalen;De Hoef 90;5242 CN;Rosmalen;http://www.jbz.nl;51.7134509;5.3704098
Franciscus Hoogvliet;Stelle 8;3191 KE;Hoogvliet;http://www.vlietlandziekenhuis.nl/hoogvliet;51.864048600000004;4.368163
Reinier de Graaf, locatie Voorburg;Fonteynenburghlaan 5;2275 CX;Voorburg;http://www.reinierdegraaf.nl;52.0607598;4.3516854999999985
Ziekenhuis Rivierenland, Barbara Polikliniek;Elisabethdreef 4;4101 KL;Culemborg;http://www.zrt.nl;51.9586493;5.2286233
Isala, polikliniek Kampen;Engelenbergplantsoen 7;8266 AB;Kampen;http://www.isala.nl;52.551616700000004;5.9193393
Admiraal De Ruyter Ziekenhuis, locatie Middelburg;Noordbolwerk 35;4331 SH;Middelburg;https://www.adrz.nl;51.5041623;3.6125385000000003
Prinses Máxima Centrum voor Kinderoncologie;Heidelberglaan 25;3584 CS;Utrecht;https://www.prinsesmaximacentrum.nl;52.08985070000001;5.1837696
KinderHaven - Rotterdam;Haringvliet 72;3011 TG;Rotterdam;http://www.havenziekenhuis.nl/kinderhaven;51.919655600000006;4.4955530999999995
Gelre polikliniek Lochem;Zwiepseweg 105;7241 GR;Lochem;http://www.gelreziekenhuizen.nl;52.1557442;6.4232441
Westfriesgasthuis, buitenpolikliniek Enkhuizen;Molenweg 9 B;1601 SR;Enkhuizen;http://www.westfriesgasthuis.nl;52.70325940000001;5.2817096
Spijkenisse Medisch Centrum, Buitenpolikliniek Rozenburg;Blankenburg 6;3181 BC;Rozenburg;http://www.spijkenissemc.nl;51.901574;4.2555545
Reinier de Graaf, locatie Westland;Middel Broekweg 2 A;2671 ME;Naaldwijk;http://www.reinierdegraaf.nl;51.9902242;4.2163496999999985
Zuyderland Medisch Centrum Kerkrade;Wijngracht 45;6461 AL;Kerkrade;http://www.zuyderland.nl;50.8662217;6.060823
Erasmus MC - Sophia;Wytemaweg 80;3015 CN;Rotterdam;http://www.erasmusmc.nl;51.91112039999999;4.466923400000001
Ikazia ziekenhuis, Buitenpolikliniek Carnisselande;Middeldijkerplein 36;2993 DL;Barendrecht;http://www.ikazia.nl;51.8487898;4.500512400000001
Franciscus Maassluis;De Vloot 206;3144 PK;Maassluis;http://www.vlietlandziekenhuis.nl/maassluis;51.929804700000005;4.2428417000000005
VieCuri, Polikliniek Peel en Maas;John F. Kennedylaan 231;5981 WZ;Panningen;http://www.viecuri.nl;51.3287518;5.9686001
Meander Medisch Centrum, locatie Barneveld;Nederwoudseweg 17;3772 TD;Barneveld;https://www.meandermc.nl;52.1236603;5.5769117999999995
Medisch Spectrum Twente (MST), locatie Haaksbergen;Wiedenbroeksingel 4;7481 BT;Haaksbergen;https://www.mst.nl;52.1600036;6.7534057
Isala Diaconessenhuis Steenwijk;Sluisweg 2;8332 JC;Steenwijk;http://www.isala-diaconessenhuis.nl;52.79335129999999;6.120847500000001
Amphia Ziekenhuis, locatie Trivium;Trivium 76;4873 LP;Etten-Leur;http://www.amphia.nl;51.56991319999999;4.6615892
OLVG, locatie Spuistraat;Spuistraat 239;1012 VP;Amsterdam;https://www.olvg.nl/contact-locatie-spuistraat;52.3710811;4.889463200000001
Ziekenhuis Gelderse Vallei, Polikliniek Veenendaal;Spoorlaan 5;3903 XS;Veenendaal;https://www.geldersevallei.nl;52.01836429999999;5.5495605
St Antonius, polikliniek Houten;Hofspoor 2;3994 VZ;Houten;http://www.antoniusziekenhuis.nl;52.024972999999996;5.177849
Albert Schweitzer ziekenhuis, Buitenpoli GOED Ridderkerk;Jan Luykenstraat 8;2985 BV;Ridderkerk;http://www.asz.nl;51.8666973;4.6026984
Alrijne buitenpoli Katwijk;Randweg 47;2225 PJ;Katwijk;http://www.alrijne.nl;52.199710700000004;4.404685
Alrijne buitenpoli Sassenheim;Rusthofflaan 50 A;2171 EX;Sassenheim;http://www.alrijne.nl;52.223124;4.5253828
Antoni van Leeuwenhoek, afdeling Radiotherapie Hoofddorp;Spaarnepoort 1;2134 TM;Hoofddorp;https://www.avl.nl;52.323855200000004;4.6534005999999986
Bravis ziekenhuis, Buitenpolikliniek Oudenbosch;West-Vaardeke 11 A;4731 MA;Oudenbosch;http://www.bravisziekenhuis.nl;51.59102129999999;4.5241193
Bravis ziekenhuis, Buitenpolikliniek Steenbergen;Lindenburghlaan 7;4651 TM;Steenbergen;http://www.bravisziekenhuis.nl;51.588304;4.313863599999999
Deventer Ziekenhuis, Polikliniek Raalte;Vrieswijk 6 B;8103 PB;Raalte;https://www.dz.nl;52.399381;6.2727319999999995
Deventer Ziekenhuis, Polikliniek Rijssen;Wijnand Zeeuwstraat 26;7462 DE;Rijssen;https://www.dz.nl;52.30189619999999;6.5188668
Diakonessenhuis, locatie Doorn;Bergweg 2;3941 RB;Doorn;https://www.diakonessenhuis.nl;52.0351588;5.3513088
Dialysecentrum Valkenburg;Broekhem 11;6301 HD;Valkenburg;http://www.dialysecentrumvalkenburg.nl;50.8684175;5.828319599999999
Elkerliek ziekenhuis, locatie Gemert;Julianastraat 2;5421 DB;Gemert;https://www.elkerliek.nl;51.5542011;5.6853767999999985
Elkerliek ziekenhuis, Polikliniek Asten;Floralaan 30;5721 CV;Asten;;51.405513;5.753382500000002
ETZ Oisterwijk;Moergestelseweg 32 G;5062 JW;Oisterwijk;http://www.etz.nl;51.57348409999999;5.1811121
Groene Hart Ziekenhuis, locatie Bodegraven;Willem de Zwijgerstraat 9;2411 VT;Bodegraven;https://www.ghz.nl;52.0879669;4.748901999999999
Groene Hart Ziekenhuis, locatie Schoonhoven;Oranjeplaats 21 G;2871 TL;Schoonhoven;http://www.ghz.nl;51.94593649999999;4.8467302000000005
HagaZiekenhuis, Zorgplein Westland;Zandeveltplein 3;2692 AH;’s-Gravenzande;https://www.hagaziekenhuis.nl;52.0024279;4.158764
HMC, Buitenpoli Gezondheidscentrum Wassenaar;Hofcampweg 65;2241 KE;Wassenaar;http://www.gezondheidscentrumwassenaar.nl;52.1465993;4.3994632000000005
HMC, Buitenpoli Statenkwartier;President Kennedylaan 15;2517 JK;Den Haag;http://www.bronovo.nl;52.087016;4.2773449
IJsselland Ziekenhuis, Buitenpolikliniek Krimpen;Groenendaal 1;2922 CJ;Krimpen aan den IJssel;http://www.ysl.nl;51.920407;4.6012317000000005
Jeroen Bosch Ziekenhuis, locatie Drunen;Tinie de Munnikstraat 17;5151 VW;Drunen;http://www.jeroenboschziekenhuis.nl;51.6902269;5.143907700000001
Jeroen Bosch Ziekenhuis, locatie Zaltbommel, Gamerschestraat;Gamerschestraat 32 A;5301 AS;Zaltbommel;http://www.jbz.nl;51.81313239999999;5.245682299999999
Jeroen Bosch Ziekenhuis, locatie Zaltbommel, Kerkstraat;Kerkstraat 2;5301 EH;Zaltbommel;http://www.jeroenboschziekenhuis.nl;51.813775899999996;5.250146
Laurentius Echt;Du Commerce 1;6101 DB;Echt;http://www.lzr.nl;51.1010699;5.8776278999999985
Laurentius Ziekenhuis, Dialysecentrum Weerterbergen;Trancheeweg 7;6002 ST;Weert;https://www.laurentiusziekenhuisroermond.nl;51.25064769999999;5.6495473999999986
Maasstad Ziekenhuis, Vakantiedialysecentrum Cape Helius;Nieuwe Zeedijk 1;3221 LZ;Hellevoetsluis;http://www.maasstadziekenhuis.nl;51.8246987;4.1236936
MC Groep, Polikliniek Urk;Vlechttuinen 1;8322 BA;Urk;http://www.mczuiderzee.com;52.6639238;5.6286301
MCL - Medisch Centrum Leeuwarden, Dialysecentrum Meckama State;Tsjerk Hiddesstraat 42;9291 AM;Kollum;http://www.dialysefriesland.nl;53.283527299999996;6.148999400000001
Meander Medisch Centrum, locatie Leusden;De Mulderij 2;3831 NV;Leusden;http://www.medischcentrumdemulderij.nl;52.131474700000005;5.4290733
Medisch Spectrum Twente (MST) - Dialysecentrum Winterswijk;Beatrixpark 1;7101 BN;Winterswijk;https://www.mst.nl/p/specialismen/dialyse;51.979066100000004;6.700517899999999
Noordwest Ziekenhuisgroep, Vakantiedialyse Texel;’t Hof 20;1794 AZ;Oosterend (Texel);http://www.nwz.nl;53.0850829;4.8738283
Ommelander Ziekenhuis Groningen, Servicepunt Veendam;Kaap de Goede Hoop 1;9642 AP;Veendam;https://www.ommelanderziekenhuis.nl;53.1031451;6.8640102
Reinier de Graaf, locatie Ypenburg;Kiekendiefstraat 17;2496 RP;Den Haag;http://www.reinierdegraaf.nl;52.0517703;4.3851708
Saxenburgh Groep, Polikliniek Ommen;Hessel Mulertstraat 22;7731 CL;Ommen;http://www.sxb.nl;52.519039600000006;6.4298721
Spijkenisse Medisch Centrum, Buitenpolikliniek Hoogvliet;Oude Wal 24 L;3193 EN;Hoogvliet;https://www.spijkenissemc.nl/buitenpoli-hoogvliet;51.8707073;4.3536262
SportmedX Almelo;Stadionlaan 36;7606 JZ;Almelo;https://www.sportmedx.nl;52.33820499999999;6.651090399999998
SportmedX Apeldoorn;Laan van Westenenk 6;73346 AZ;Apeldoorn;https://www.sportmedx.nl;52.191243;5.9354178
SportmedX Deventer;Piet van Donkplein 1;7422 LW;Deventer;https://www.sportmedx.nl;52.2498224;6.2127336999999985
SportmedX Enschede;Roessinghsbleekweg 157;7522 AH;Enschede;https://www.sportmedx.nl;52.232961200000005;6.880159000000001
SportmedX Winterswijk;Beatrixpark 1;7101 BN;Winterswijk;https://www.sportmedx.nl;51.979066100000004;6.700517899999999
St Antonius Dialysecentrum, locatie Tiel;President Kennedylaan 1;4002 WP;Tiel;http://www.antoniusziekenhuis.nl;51.8894264;5.4150467
St Antonius Polikliniek Mijdrecht;Hoofdweg 1;3641 PN;Mijdrecht;http://www.antoniusziekenhuis.nl;52.205734299999996;4.863404900000001
St Antonius, polikliniek Utrecht Overvecht;Neckardreef 6;3562 CN;Utrecht;http://www.antoniusziekenhuis.nl;52.1147715;5.1226625
Streekziekenhuis Koningin Beatrix, Buitenpolikliniek Eibergen;Willem Sluyterstraat 6;7151 DW;Eibergen;https://www.skbwinterswijk.nl;52.0986274;6.645185099999999
Tergooi Buitenpolikliniek Weesp;C.J. van Houtenlaan 1 B;1381 CN;Weesp;http://www.tergooi.nl;52.304632899999994;5.0388836999999995
Tjongerschans Polikliniek Lemmer;Van Rijgersmapark 1;8531 JA;Lemmer;http://tjongerschans.nl;52.8462402;5.6979595000000005
Tjongerschans Polikliniek Steenwijk;Mr. Zigher ter Steghestraat 9;8331 KG;Steenwijk;http://tjongerschans.nl;52.7911707;6.1111083
Ziekenhuis Gelderse Vallei, Polikliniek Wageningen;Plantsoen 57;6701 AS;Wageningen;https://www.geldersevallei.nl;51.9683352;5.6649566
Ziekenhuis Rivierenland, Polikliniek De Waterpoort;Beatrixstraat 20;6658 EK;Beneden-Leeuwen;http://www.zrt.nl;51.8813471;5.5188875999999985
